mask_hex,rank,joint,margin_ticks
01c46420,8,0,508994116261470
229e0002,8,0,182144470705470
0148b005,8,0,809859303550080
134004c8,8,0,173945570244012
2098001e,8,0,216936633563118
05844424,8,0,111632977634220
2d006003,8,0,409918587233400
21207201,8,0,878313766017870
15285010,8,0,507957522432444
0d884044,8,0,77653030123620
24844441,8,0,65305501035390
29080883,8,0,176381304312780
0c025209,8,0,345432410009568
33151000,8,0,381736054157094
26016600,8,0,822658651734150
221c0282,8,0,96096030658110
05104449,8,0,828791885012238
09186012,8,0,103019795914140
2108121a,8,0,88864776687078
052c6002,8,0,553360114142640
014a3088,8,0,316456602733908
1404140d,8,0,360151527364902
010c2449,8,0,237656495833218
281a0a80,8,0,79000827960600
229c0202,8,0,438043695043500
05e03010,8,0,248552151390900
24806484,8,0,915185926207350
25482220,8,0,845832371120100
25880448,8,0,1268371741755888
312a1002,8,0,28076641707114
23416200,8,0,793465160919480
10846520,8,0,120045890491254
3408a440,8,0,383924395813644
07414220,8,0,349397687084040
05045089,8,0,469730548887138
0b046408,8,0,175109566196628
2038008b,8,0,325990467291888
010a5203,8,0,208401771461310
02507084,8,0,359656647281820
03048650,8,0,126876212916390
08d22480,8,0,106721584404750
3e020408,8,0,87197579379792
21199200,8,0,778039828076070
27002602,8,0,699647072601330
0110f120,8,0,115986717570150
20ba4400,8,0,1281708561212730
09888409,8,0,48922414753338
021a2481,8,0,488441392103070
3110140a,8,0,252254992674762
35540100,8,0,448560313655454
032c8009,8,0,132159071553768
24d04024,8,0,141113156832900
03114601,8,0,518181007386420
01c0d102,8,0,218516251296420
0090e421,8,0,214502830464510
250c0508,8,0,790783869450078
211a0c80,8,0,783651515779440
2590040c,8,0,272219390670528
24855100,8,0,496686743963550
02b05014,8,0,466669368077220
30284488,8,0,391537874295162
05114281,8,0,366039528242220
310c8003,8,0,1135976792970474
32c06002,8,0,763026112460934
1150c00c,8,0,25344095310702
3304a004,8,0,569907367959384
13602006,8,0,34255402797924
11066041,8,0,96659170544664
05147002,8,0,892659892406310
05086205,8,0,696421318110210
052d0401,8,0,225726508142100
048c4484,8,0,311408293987350
221d2002,8,0,452575570572720
123c0440,8,0,134529583714344
1521e000,8,0,154865713502304
010cf100,8,0,87198272755650
05188205,8,0,353553580392390
12149401,8,0,680339933398944
02047406,8,0,300369303605700
1300148c,8,0,22288280596722
06119201,8,0,359686505504340
03ca0480,8,0,474880534410240
30185a00,8,0,307103730205104
223c0500,8,0,486488490732720
03a80c02,8,0,405585007892190
01093481,8,0,44541351331470
23082049,8,0,371404333432818
20906602,8,0,1000718247238920
20181e08,8,0,241955864668728
101c9201,8,0,87702562113894
101ca401,8,0,385197097460994
38904c00,8,0,9012429314784
0154a280,8,0,455057255154600
24c44410,8,0,140151439187550
22a01409,8,0,488922672327138
34142084,8,0,23879696534694
07625000,8,0,639497716595640
0a18e200,8,0,381668841877680
23351000,8,0,490007091198870
321c0088,8,0,477988523295192
07888420,8,0,97103523801690
05520821,8,0,242452060367580
02183c04,8,0,518599148053770
00781103,8,0,56010962092680
07610240,8,0,189218689697520
1580c101,8,0,188291386188864
055020c1,8,0,242753458024350
0d034401,8,0,80498388111120
010c6424,8,0,48857847399270
060684c0,8,0,137100824566020
35806010,8,0,1038289897736154
241d2200,8,0,1329904383792390
09a0f000,8,0,317705233278510
2c584080,8,0,54080947854360
23602408,8,0,1693811678415948
09686004,8,0,726992027928810
05904842,8,0,543224628540720
20c44540,8,0,211140773782470
011c3081,8,0,912236848195680
14246208,8,0,68221421088912
23001690,8,0,193910876492760
2420d003,8,0,375444085017330
21480309,8,0,263381195469168
210a6804,8,0,967621569463710
240a6202,8,0,452223547556130
138c0600,8,0,527355177060348
24695000,8,0,751505126578290
34925000,8,0,658401893775234
34101409,8,0,719806198345542
03257000,8,0,491303976826320
03500e02,8,0,273564946805220
2488a402,8,0,697798915150680
20087013,8,0,900103755972330
01185211,8,0,684700824298680
