q,r,tests,first_inactive_mask,literal_mass,literal_margin,literal_grid,primary_margin,primary_den
2,306,25,0812412c,1145180478064,-818267547888,18241159416480,-3505458175152192,78145126940200320
2,313,17,0c82044a,359669622046756,-178745400487332,5709482897358240,-5004871213645296,159865521126030720
2,320,37,10864540,4616003614274,-1050322964418,72964637665920,-1176361720148160,81720394185830400
2,332,46,0ac44140,94154679515382,-124320116802294,1514016231567840,-6961926540928464,84784908967799040
2,338,20,1804aa01,14931980554990,-7825514692590,237135072414240,-2848487348102760,86317166358783360
2,346,17,0c82044a,194199356773142,-388322839496214,3155720579051040,-10873039505893992,88360176213429120
2,366,25,0812412c,69252419799984,-87940450222128,1112710724405280,-7386997818658752,93467700850043520
2,372,92,19c00c40,34723952302058,-74294772613866,565475941910880,-12481521799129488,94999958241027840
2,378,46,0ac44140,3460564961240,-878320439640,54723478249440,-1549357255524960,96532215632012160
2,381,92,19c00c40,145578928278968,-95036501996856,2316627245892960,-7983066167735904,194596688655008640
2,383,362,2902c440,443337636609264,-15185119663728,6986364056511840,-425183350584384,195618193582331520
2,384,10,22205c02,9112718956248,-9615807083736,145929275331840,-6461822360270592,98064473022996480
2,410,92,19c00c40,47077553720330,-25664259921930,747887536075680,-3592996389070200,104704255050595200
2,416,92,19c00c40,2271849445450,-2802760268490,36482318832960,-8161637901842880,106236512441579520
2,420,188,28062405,1151027162830,-449926407630,18241159416480,-2645567276864400,107258017368902400
2,437,92,19c00c40,26565170421580,-4580929756620,419546666579040,-2437054630521840,223198826620049280
2,462,77,09828640,1143499814272,-924149366784,18241159416480,-5977398104358912,117983819105792640
2,466,46,0ac44140,269621248760760,-14621904231480,4250190144039840,-409413318481440,119005324033115520
2,495,92,19c00c40,1147223006608,-689588249616,18241159416480,-9557693139677760,252822469512412800
2,512,25,0812412c,36646240158752,-26155275308064,583717101327360,-5858781669006336,130752630697328640
2,519,92,19c00c40,199629660755752,-46213688591784,3155720579051040,-3881949841709856,265080528640287360
2,520,25,0812412c,1157932494888,-14890487976,18241159416480,-108402752465280,132795640551974400
2,550,92,19c00c40,5787820943536,-190468886832,91205797082400,-293322085721280,140456927506896000
3,6,132,30700448,1157736433922,-27242328834,18241159416480,-2288355622056,1532257390984320
3,7,24,10740051,1157622344450,-34429965570,18241159416480,-10122409877580,5362900868445120
3,11,11,04518811,1146676465670,-724020328710,18241159416480,-334497391864020,8427415650413760
3,12,3,2a904060,1152594123780,-351207867780,18241159416480,-59002921787040,3064514781968640
3,13,244,30960500,1148188993678,-628731064206,18241159416480,-343287161056476,9959673041398080
3,14,37,10864540,1151187959506,-439796217042,18241159416480,-258600175620696,10725801736890240
3,17,149,28144428,1151694631250,-407875897170,18241159416480,-291223390579380,13024187823366720
3,18,3,2a904060,1142490646692,-987726924324,18241159416480,-248907184929648,4596772172952960
3,19,1,0a10d120,1145908244936,-772418234952,18241159416480,-616389751491696,14556445214351040
3,22,1,0a10d120,1145912700272,-772137548784,18241159416480,-713455095076416,16854831300827520
3,23,3,2a904060,25100134796242,-96878174152914,419546666579040,-4068883314422388,17620959996319680
3,24,1,0a10d120,1026367773512,-8303467934664,18241159416480,-2789965226047104,6129029563937280
3,25,2,06411019,5499229515932,-18371728825884,91205797082400,-3858063053435640,19153217387304000
3,26,37,10864540,1129276857710,-1820195630190,18241159416480,-1987653628167480,19919346082796160
3,27,81,08940509,3431950694188,-2681019263916,54723478249440,-337808427253416,6895158259429440
3,31,24,10740051,35780058970942,-7760052474174,565475941910880,-325922203915308,23749989560256960
3,32,17,0c82044a,2306028745428,-649464369876,36482318832960,-436440056556672,24516118255749120
