q,r,tests,first_inactive_mask,margin_num,den
3,439,130,30700448,-11101642842165372,336330497321058240
3,440,24,10740051,-35750500980274080,337096626016550400
3,441,255,32260808,-3311696808417816,112620918237347520
3,442,43,38060490,-24849119904408072,338628883407534720
3,443,130,30700448,-13137056307012960,339395012103026880
3,444,20,1804aa01,-7332687467776944,113387046932839680
3,445,41,0a204449,-12953341839947040,340927269494011200
3,446,147,28144428,-15568923077744400,341693398189503360
3,448,32,32a40801,-6291416112351552,343225655580487680
3,449,147,28144428,-19767003047821260,343991784275979840
3,453,147,28144428,-3157511643441540,115685433019316160
3,454,130,30700448,-27470621731003416,347822427753440640
3,455,20,1804aa01,-7176778126605360,348588556448932800
3,459,73,3a0c0a00,-2812492150011180,117217690410300480
3,461,147,28144428,-1832585460487740,353185328621885760
3,462,20,1804aa01,-9063690979543200,117983819105792640
3,464,130,30700448,-10948864729654656,355483714708362240
3,465,130,30700448,-7169509806052860,118749947801284800
3,466,13,12904122,-20341997020734480,357015972099346560
3,467,130,30700448,-4251174560375148,357782100794838720
3,471,24,10740051,-3152881914692328,120282205192269120
3,473,130,30700448,-12860498122990056,362378872967791680
3,474,147,28144428,-2953244724304392,121048333887761280
3,475,130,30700448,-29993225682658140,363911130358776000
3,476,147,28144428,-2465195726720160,364677259054268160
3,477,418,018c2114,-6122641550031216,121814462583253440
3,478,147,28144428,-27530507712499344,366209516445252480
3,481,24,10740051,-3880563293447568,368507902531728960
3,483,147,28144428,-1170431926990452,123346719974237760
3,484,37,10864540,-31048071851356560,370806288618205440
3,485,80,08940509,-11801727703692360,371572417313697600
3,486,130,30700448,-6001063458884424,124112848669729920
3,487,130,30700448,-7127247368895948,373104674704681920
3,488,75,21948006,-11842750857188160,373870803400174080
3,489,130,30700448,-3890544501561984,124878977365222080
3,491,130,30700448,-4679052542447976,376169189486650560
3,492,43,38060490,-1544629544744832,125645106060714240
3,494,32,32a40801,-596039815025928,378467575573127040
3,495,24,10740051,-3039390028715040,126411234756206400
3,496,37,10864540,-6602770013321664,379999832964111360
3,497,130,30700448,-5100647313118140,380765961659603520
3,499,255,32260808,-257888500057188,382298219050587840
3,502,241,30960500,-7861123359252072,384596605137064320
3,506,130,30700448,-30739736047343400,387661119919032960
3,507,255,32260808,-4030534087054020,129475749538175040
3,508,130,30700448,-30553423913923344,389193377310017280
3,509,147,28144428,-10389999854727612,389959506005509440
3,512,10,22205c02,-17295750127361664,392257892091985920
3,513,130,30700448,-10722479574462264,131008006929159360
3,516,3,2a904060,-6724088245857024,131774135624651520
3,518,130,30700448,-7544270394387720,396854664264938880
3,519,13,12904122,-3073685402774196,132540264320143680
3,520,3,2a904060,-47471706603528480,398386921655923200
3,523,130,30700448,-11164961372086620,400685307742399680
3,525,43,38060490,-137706307993800,134072521711128000
3,530,20,1804aa01,-8878304915789400,406048208610844800
3,531,80,08940509,-1939013776102032,135604779102112320
3,532,147,28144428,-5915135802431520,407580466001829120
3,533,241,30960500,-21956647720971600,408346594697321280
3,537,130,30700448,-12044445048515880,137137036493096640
3,538,41,0a204449,-9106819616192256,412177238174782080
3,540,24,10740051,-17246075634693360,137903165188588800
3,541,130,30700448,-26805559525805088,414475624261258560
3,542,41,0a204449,-3519454470162120,415241752956750720
3,543,130,30700448,-4495693119345288,138669293884080960
3,544,37,10864540,-3974535995661504,416774010347735040
3,545,32,32a40801,-4585833463105440,417540139043227200
3,549,147,28144428,-1383656634822420,140201551275065280
3,550,41,0a204449,-15948583195933080,421370782520688000
3,554,41,0a204449,-19523939852841984,424435297302656640
3,555,147,28144428,-1530010618935120,141733808666049600
3,556,73,3a0c0a00,-1453856646859344,425967554693640960
3,557,130,30700448,-5285276122799484,426733683389133120
3,558,130,30700448,-6445424179441800,142499937361541760
