a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
0000000002000003	0000000000000000	3	80	0ca20482	8	1	79	215569558042210	82424188464030
0000000002000008	0000000000000000	2	12	04630283	9	0	12	215834708750298	99128683073574
0000000002000009	0000000000000000	3	6	046284c1	9	0	6	217461597073820	201622647455460
000000000200000a	0000000000000000	3	24	042286c1	9	0	24	216768269135758	157942987357554
000000000200000b	0000000000000000	4	8	042384c1	9	0	8	215126949427330	54539845726590
0000000002000018	0000000000000000	3	6	04610683	9	0	6	214360389596172	6246576363636
0000000002000019	0000000000000000	4	2	04608cc1	9	0	2	214764027364502	31675755768426
000000000200001a	0000000000000000	4	4	04218683	9	0	4	214445159295492	11587067420796
0000000002010000	0000000000000000	2	359	00a884c2	8	6	353	214349458527082	5557919010966
0000000002010080	0000000000000000	3	13	00aa8283	9	0	13	218753394342628	283005875390364
0000000002018000	0000000000000000	3	53	00a484c3	9	0	53	218233722623660	250266557095380
0000000002018040	0000000000000000	4	8	00e086c1	9	0	8	216688340449172	152907480102636
0000000002018041	0000000000000000	5	6	00e284c1	9	0	6	215537702566570	80417293498710
0000000002018042	0000000000000000	5	10	00a086c3	9	0	10	216566619876952	145239084052776
0000000002018043	0000000000000000	6	3	08a28483	9	0	3	215036218676520	48823808425560
0000000002018842	0000000000000000	6	6	00a286c2	9	0	6	215866831122228	101152392505164
0000000002018843	0000000000000000	7	2	08a284c2	9	0	2	217462746843890	201695082969870
0000000002410000	0000000000000000	3	123	006c84c0	8	1	122	216350582245550	131628713274450
0000000002410080	0000000000000000	4	3	086a0283	9	0	3	214751487040238	30885715339794
000000000249c000	0000000000000000	6	7	00648cc1	9	0	7	214485179384500	14108333028300
0000000002c10000	0000000000000000	4	23	002886c3	9	0	23	216018653718832	110717216091216
0000000002c10080	0000000000000000	5	5	082a0293	9	0	5	215297713609878	65297989227114
0000000002c9e04a	0000000000000000	11	1	082286c1	9	0	1	216182899475708	121064698774404
0000000003000000	0000000000000000	2	4051	04258640	8	256	3795	214693865457930	27255555654390
0000000003000001	0000000000000000	3	127	04e08441	8	3	124	214675317292262	26087021217306
0000000003000002	0000000000000000	3	184	04a08642	8	10	174	214877145548442	38802201356646
0000000003000003	0000000000000000	4	103	0ca08441	8	5	98	214540257066672	17578227005136
