q,r,grid,mass,ticks,active
325,612,91205797082400,6432722786460,40438347217380,1
332,612,1514016231567840,103760282807772,480832890618276,1
346,612,3155720579051040,218220018056860,1124978821378020,1
366,612,1112710724405280,75911954167154,331610214909582,1
372,612,565475941910880,37130712111188,77331095361324,1
384,612,145929275331840,10102453791268,52737487522524,1
416,612,36482318832960,2495596531598,11293306158834,1
444,612,674922898409760,48832702625980,376768671797700,1
519,612,3155720579051040,222906162930258,1420205948402094,1
520,612,18241159416480,1280514617904,7707783262032,1
567,612,164170434748320,11569622908454,72204504239322,1
592,612,674922898409760,47645858595614,301997497884642,1
100,611,4286672462872800,295334869236264,1459406910393432,1
186,611,26577369269811360,1804360914939986,7365260561973678,1
192,611,3429337970298240,236934600963276,1209527979493428,1
210,611,857334492574560,59668535181190,329779746116730,1
256,611,13717351881192960,891420230974708,1290067026634764,1
260,611,857334492574560,60454873621902,379319067881586,1
294,611,6001341448021920,434278410009696,3354174038523168,1
313,611,268345696175837280,18552243708523996,95408568933662628,1
100,610,5563553622026400,413774791139872,3813597353706336,1
192,610,4450842897621120,323569607553998,2581513685417394,1
210,610,1112710724405280,82786631771416,764714903978088,1
256,610,17803371590484480,1252440131365726,7690241914102818,1
260,610,1112710724405280,83838088427340,830956673301300,1
100,609,91205797082400,6623805621366,52476565816458,1
192,609,72964637665920,5248146439912,38774675050776,1
210,609,18241159416480,1313392022570,9779059755990,1
260,609,18241159416480,1348451789854,11987825094882,1
100,608,182411594164800,13144966253104,98486497286352,1
192,608,72964637665920,5271443012782,40242359141586,1
210,608,36482318832960,2697729978184,24027713293752,1
220,608,36482318832960,2673994902936,22532403553128,1
260,608,36482318832960,2703438956036,24387378898428,1
294,608,255376231830720,19369421070734,198768600133362,1
520,608,36482318832960,2658600845976,21562577964648,1
100,607,55361918829016800,3895683834511594,23980406258163222,1
192,607,44289535063213440,3145422628909958,21003485368473594,1
210,607,11072383765803360,790144447556878,5489565132869874,1
260,607,11072383765803360,810328425490784,6761155742705952,1
100,606,9211785505322400,637736877146348,3330281238930324,1
186,606,57113070132998880,3930518282849502,19170371287523106,1
192,606,7369428404257920,497787235532644,1882882221524892,1
210,606,1842357101064480,130364533514638,843537207164274,1
220,606,1842357101064480,129692123054816,801175348195488,1
256,606,29477713617031680,2005009781684238,8404761777980274,1
260,606,1842357101064480,133671727647532,1051890437536596,1
294,606,12896499707451360,942386334417364,7784340238488492,1
320,606,7369428404257920,521997364787628,3408120364588884,1
366,606,112383783164933280,7702757884164002,35738614042599006,1
384,606,14738856808515840,1040177664066572,6575765602130676,1
416,606,3684714202128960,253282172059746,1217920031248158,1
520,606,1842357101064480,132189704117444,958522955141052,1
100,605,1003263767906400,68660091885002,312530717129526,1
192,605,802611014325120,55246062297520,270057867443280,1
210,605,200652753581280,14230500305370,93910504913190,1
260,605,200652753581280,14324169101652,99811639078956,1
520,605,200652753581280,13927306005272,74809264007016,1
100,604,13772075359442400,965033733533594,5708823774846822,1
192,604,11017660287553920,759483896739118,3776844344348754,1
210,604,2754415071888480,197497972944036,1424712007920348,1
260,604,2754415071888480,196159413011812,1340382732190236,1
294,604,19280905503219360,1387723174536370,10302937982913870,1
306,604,2754415071888480,189957520347022,949663494308466,1
520,604,2754415071888480,191986232771542,1077472377053226,1
100,603,6110788404520800,441712310222756,3384721925950428,1
192,603,4888630723616640,349591166344688,2469720585248784,1
210,603,1222157680904160,89845806084900,771655059732060,1
260,603,1222157680904160,90452062294736,809849200951728,1
294,603,8555103766329120,644320468044228,6371774421469884,1
416,603,2444315361808320,174933142715766,1243526543859978,1
100,602,3921849274543200,271307540377630,1404977945617890,1
192,602,3137479419634560,223941629658212,1558404989929116,1
210,602,784369854908640,55669554099774,369702488651202,1
220,602,784369854908640,56066850253292,394732146322836,1
256,602,12549917678538240,850092683095092,3356168320837836,1
260,602,784369854908640,56597789500532,428181318898956,1
294,602,5490588984360480,410904134159906,3924604514632158,1
350,602,3921849274543200,291482839399868,2676021784018884,1
409,602,320807270657633760,22207695547180634,115855736841844902,1
420,602,784369854908640,58477041679460,546574206171420,1
100,601,54814684046522400,3872932404836606,24736005318616578,1
210,601,10962936809304480,777386788960980,5123620467323820,1
260,601,10962936809304480,803648997222506,6778139587799958,1
96,600,182411594164800,12574367532610,62538777895230,1
100,600,91205797082400,6744414463820,60074922891060,1
186,600,2827379709554400,204110769530896,1549459642228848,1
192,600,364823188329600,26317280526728,198695919865464,1
210,600,91205797082400,6730413068536,59192834988168,1
256,600,1459292753318400,102467100795828,618256336863564,1
260,600,91205797082400,6736293871676,59563325585988,1
366,600,5563553622026400,404161276695090,3207945943685070,1
384,600,729646376659200,53478163239952,450538777480176,1
520,600,91205797082400,6712095920670,58038854672610,1
96,599,21852908980943040,1419295886057722,2004004897864326,1
100,599,54632272452357600,3787385789458888,20076214926479544,1
186,599,338720089204617120,22772793828373842,79805654369083566,1
192,599,43705817961886080,2991593473027936,13647116953215648,1
206,599,1125424812518566560,78756919772867994,459986695616417382,1
210,599,10926454490471520,767929657936802,4673750488132446,1
256,599,174823271847544320,11542240651716166,27868073667941178,1
260,599,10926454490471520,772804648710916,4980874906901628,1
294,599,76485181433300640,5491824139504420,40044195055575900,1
313,599,3419980255517585760,223640526570614780,409432151878388100,1
96,598,839093333158080,58267207298342,314460727163226,1
100,598,2097733332895200,152104408252574,1191644388331362,1
192,598,1678186666316160,120723656735216,892843709053968,1
210,598,419546666579040,30441676827640,239638973825160,1
260,598,419546666579040,31450734496970,303209606992950,1
