======================================================================
n=5 SC TOURNAMENTS: b1 vs c3 DETAILED
======================================================================

n=5 SC: (score, c3, b1) => count
  score=(1, 1, 2, 3, 3), c3=3, b1=0: 120
  score=(1, 1, 2, 3, 3), c3=3, b1=1: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=0: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=1: 160
  score=(2, 2, 2, 2, 2), c3=5, b1=1: 24

======================================================================
SCORE (1,2,2,2,3) at n=5: b1 vs c3
======================================================================

  max_c3v=4 at bits=17690, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=17837, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=17841, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18098, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18105, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18219, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18232, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18314, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18323, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18604, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18617, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18635, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18648, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18826, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=18829, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=19598, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=19602, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=19689, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=19699, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=19753, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=19758, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=20692, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=20697, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=20813, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=20824, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=20876, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=20885, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21169, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21180, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21258, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21276, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21451, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21457, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21586, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21596, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21797, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21820, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21957, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=21971, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=22068, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=22074, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=22339, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=22362, c3_vs=[4, 4, 4, 4, 4, 4]
