H-SPECTRUM: n=8, m=28, EXHAUSTIVE (268435456 tournaments)
Processing lower half [0,134217728) in 174763 chunks of B=768; counts doubled by reversal symmetry. Cores: 24
  H=   353:      1330560
  H=   355:       967680
  H=   357:      1223040
  H=   359:      1370880
  H=   361:      1249920
  H=   363:       403200
  H=   365:      1370880
  H=   367:       887040
  H=   369:      1518720
  H=   371:      1290240
  H=   373:      1411200
  H=   375:      1559040
  H=   377:       806400
  H=   379:      1128960
  H=   381:       927360
  H=   383:      1451520
  H=   385:       806400
  H=   387:       779520
  H=   389:      1169280
  H=   391:       806400
  H=   393:      1196160
  H=   395:       322560
  H=   397:      1008000
  H=   399:      1155840
  H=   401:      1733760
  H=   403:      1128960
  H=   405:       779520
  H=   407:      1854720
  H=   409:      1451520
  H=   411:       940800
  H=   413:      1169280
  H=   415:      1048320
  H=   417:      1572480
  H=   419:       806400
  H=   421:      1370880
  H=   423:      1236480
  H=   425:      1693440
  H=   427:      1128960
  H=   429:       873600
  H=   431:       806400
  H=   433:       766080
  H=   435:       752640
  H=   437:       806400
  H=   439:       887040
  H=   441:      1249920
  H=   443:       564480
  H=   445:      1088640
  H=   447:       725760
  H=   449:      1451520
  H=   451:      1128960
  H=   453:       564480
  H=   455:       725760
  H=   457:       685440
  H=   459:      1209600
  H=   461:       806400
  H=   463:      1290240
  H=   465:       779520
  H=   467:      1370880
  H=   469:      1330560
  H=   471:       940800
  H=   473:      1048320
  H=   475:       967680
  H=   477:       981120
  H=   479:       564480
  H=   481:       846720
  H=   483:       591360
  H=   485:       483840
  H=   487:       403200
  H=   489:       672000
  H=   491:       967680
  H=   493:       725760
  H=   495:       887040
  H=   497:      1330560
  H=   499:       806400
  H=   501:       604800
  H=   503:      1128960
  H=   505:       725760
  H=   507:       725760
  H=   509:      1411200
  H=   511:      1290240
  H=   513:      1357440
  H=   515:       483840
  H=   517:       846720
  H=   519:       967680
  H=   521:       685440
  H=   523:      1532160
  H=   525:       403200
  H=   527:       887040
  H=   529:       766080
  H=   531:       645120
  H=   533:       967680
  H=   535:       403200
  H=   537:       483840
  H=   539:       645120
  H=   541:       403200
  H=   543:       268800
  H=   545:       806400
  H=   547:       887040
  H=   549:       268800
  H=   551:       645120
  H=   553:       443520
  H=   555:       430080
  H=   557:       241920
  H=   559:       241920
  H=   561:       551040
  H=   563:       483840
  H=   565:       282240
  H=   567:       241920
  H=   569:       564480
  H=   571:       403200
  H=   573:       806400
  H=   575:       322560
  H=   577:       282240
  H=   579:       564480
  H=   581:       483840
  H=   583:       806400
  H=   585:       725760
  H=   587:       403200
  H=   589:       645120
  H=   591:       483840
  H=   593:       887040
  H=   595:       564480
  H=   597:       483840
  H=   599:       322560
  H=   601:        80640
  H=   603:        80640
  H=   605:       161280
  H=   607:        80640
  H=   609:        80640
  H=   613:        80640
  H=   621:        17920
  H=   627:        80640
  H=   629:        40320
  H=   631:       161280
  H=   633:        26880
  H=   637:        40320
  H=   639:       161280
  H=   641:       322560
  H=   643:       241920
  H=   645:       161280
  H=   649:       161280
  H=   651:       403200
  H=   653:       483840
  H=   657:       524160
  H=   659:       161280
  H=   661:       241920
----------------------------------------------------------------
Distinct H values: 320
Range: [1, 661]
All H odd: True
Census total: 268435456 (= 2^28 = 268435456)  OK

ODD GAPS in [1, 661]: [7, 21, 611, 615, 617, 619, 623, 625, 635, 647, 655]

KEY FORBIDDEN-VALUE CHECKS at n=8:
  H=7: GAP
  H=21: GAP
  H=35: ACHIEVED (count=161280)
  H=39: ACHIEVED (count=188160)
  H=49: ACHIEVED (count=604800)
  H=63: ACHIEVED (count=80640)

Elapsed: 1594.8s
