mask_hex,rank,dual_numerator,in_retained_pool
30388401,8,1040545055,0
30388440,8,1534640384,0
30388480,8,1534640384,0
306c4040,8,1484806211,0
30780003,8,1494791165,0
30980680,8,1785171853,0
30988440,8,1785171853,0
30988480,8,1785171853,0
30988600,8,1785171853,0
30a8040a,8,1134469216,0
30a82408,8,1108899134,0
30a88408,8,1134469216,0
30b80402,8,1459432674,0
30b80480,8,1459432674,0
30b80600,8,1459432674,0
30b88008,8,1565670026,0
30b88400,8,1459432674,0
31180083,8,1160339147,0
31180281,8,1161635742,0
31180888,8,1195602965,0
3118800a,8,1071574697,0
31188088,8,1071574697,0
31308088,8,1071574697,0
31380003,8,1125676494,0
3138000a,8,1195602965,0
3138000c,8,1096748971,0
31380048,8,1195602965,0
31380081,8,1230719832,0
31380088,8,1195602965,0
31380108,8,1195602965,0
31380208,8,1091856222,0
31380808,8,1195602965,0
31388002,8,1469693325,0
31388004,8,1370839331,0
31388008,8,1071574697,0
31388080,8,1469693325,0
31388200,8,1365946582,0
31508880,8,1389930519,0
31580006,8,1284875473,0
31580082,8,1383729467,0
31580280,8,1488772805,0
31580880,8,1488772805,0
31588002,8,1120852543,0
31588004,8,1021998549,0
31588080,8,1120852543,0
31588200,8,1120852543,0
31588800,8,1120852543,0
31590200,8,1488772805,0
31708080,8,1098853993,0
31708100,8,1098853993,0
31708800,8,1098853993,0
31780002,8,1092652941,0
31780004,8,1098842285,0
31780040,8,1197696279,0
31780080,8,1197696279,0
31780100,8,1197696279,0
31780200,8,1197696279,0
31780800,8,1197696279,0
31790000,8,1197696279,0
31988008,8,1071574697,0
31b08008,8,1071574697,0
31b80008,8,1195602965,0
31b88000,8,1469693325,0
31d08080,8,1389930519,0
31d08800,8,1389930519,0
31d80002,8,1383729467,0
31d88000,8,1120852543,0
31f08000,8,1098853993,0
31f80000,8,1197696279,0
38100889,8,1151659198,0
38102888,8,1221555842,0
382c4040,8,1190098505,0
38380048,8,1811957572,0
38380808,8,1811957572,0
38388008,8,1197295484,0
384e4000,8,1190098505,0
386c4000,8,1190098505,0
39388000,8,1101318783,0
39500880,8,1429958496,0
39508080,8,1062038234,0
39508800,8,1062038234,0
39580080,8,1160880520,0
39580800,8,1160880520,0
39700800,8,1138881970,0
0000e3a5,9,1550330611,0
0000eec1,9,1224818721,0
0004a3a5,9,1447222596,0
0004b097,9,1106512373,0
0004b1a5,9,1106512373,0
0004b3a4,9,1484508337,0
0004e097,9,1081595423,0
0004e1a5,9,1441757293,0
0004e287,9,1447222596,0
0004e325,9,1534813353,0
0004e3a1,9,1224818721,0
0004e685,9,1224818721,0
0004e6c1,9,1224818721,0
0004e6c4,9,1224818721,0
0004ea85,9,1224818721,0
0004ee81,9,1224818721,0
0005e285,9,1224818721,0
0005e681,9,1224818721,0
0008249f,9,1161593073,0
0008609f,9,1035494525,0
0008688f,9,1035494525,0
0008a4cb,9,1037442739,0
0008a4cd,9,1037442739,0
0008a4d9,9,1037442739,0
0008a64b,9,1205659375,0
0008a64d,9,1205659375,0
0008ae49,9,1205659375,0
0008e4c3,9,1332359076,0
0008e4c5,9,1332359076,0
0009a4c9,9,1037442739,0
0009a649,9,1205659375,0
000c209f,9,1007700372,0
000c221f,9,1078073016,0
000c248f,9,1007700372,0
000c249b,9,1007700372,0
000c2687,9,1295308346,0
000c3296,9,1779816686,0
000c6097,9,1341088903,0
000c6487,9,1341088903,0
000c6607,9,1030320121,0
000c6887,9,1341088903,0
000c6c85,9,1341088903,0
000ca287,9,1295308346,0
000ca487,9,1105271085,0
000ca4c5,9,1105271085,0
000ca60d,9,1078073016,0
000ca649,9,1078073016,0
000ca683,9,1295308346,0
000ca6c1,9,1295308346,0
000cb286,9,1484508337,0
000cb28c,9,1209629794,0
000ce087,9,1216938569,0
000ce093,9,1269360812,0
000ce207,9,1173468557,0
000ce483,9,1216938569,0
000ce485,9,1216938569,0
000ce4c1,9,1216938569,0
000ce4c2,9,1216938569,0
000ce4c4,9,1216938569,0
000ce4d0,9,1216938569,0
000ce641,9,1276499364,0
000ce885,9,1216938569,0
000cecc0,9,1216938569,0
000d248b,9,1007700372,0
000d248d,9,1007700372,0
000da609,9,1078073016,0
000da681,9,1295308346,0
000de481,9,1216938569,0
000e320e,9,1097024924,0
000e3216,9,1097024924,0
000e3a0c,9,1097024924,0
000eb20c,9,1097024924,0
001063a5,9,1266684787,0
001067a4,9,1044280912,0
00106a87,9,1266684787,0
00106e85,9,1044280912,0
