mask_hex,rank,active_rows
0e0b0404,8,452
0ec04140,8,452
10383110,8,452
1124e040,8,452
114d8800,8,452
12241580,8,452
14144920,8,452
16580011,8,452
19461004,8,452
1a248408,8,452
2101b081,8,452
228060c2,8,452
23880460,8,452
23892001,8,452
23c04880,8,452
24e42001,8,452
25006a02,8,452
25412014,8,452
26282220,8,452
30145050,8,452
32b80020,8,452
34440428,8,452
35408500,8,452
381c0840,8,452
3a421008,8,452
000a9609,8,453
0038940a,8,453
01243124,8,453
01d94002,8,453
021c440a,8,453
02a43009,8,453
040c508c,8,453
0420f050,8,453
04223405,8,453
05098604,8,453
0680a888,8,453
078c1040,8,453
0b246004,8,453
0c910601,8,453
0d808089,8,453
0e80c088,8,453
0f204802,8,453
100c3205,8,453
10d16100,8,453
1252040a,8,453
12606009,8,453
12805206,8,453
14225a00,8,453
15019404,8,453
1d824004,8,453
20536008,8,453
221c4204,8,453
22a8c020,8,453
23948100,8,453
248a5080,8,453
24a8c004,8,453
25021203,8,453
2504a220,8,453
2510001d,8,453
2510c0c0,8,453
25448404,8,453
26402083,8,453
27082030,8,453
2b4c0200,8,453
2c0c8208,8,453
30115201,8,453
312a1002,8,453
34b10002,8,453
3b104020,8,453
0008720d,8,454
0030501d,8,454
00665408,8,454
01145098,8,454
01c46420,8,454
03925100,8,454
050944c0,8,454
05340124,8,454
05880a09,8,454
0641a011,8,454
06809406,8,454
06848680,8,454
0c161802,8,454
0c2c9020,8,454
0cc04c08,8,454
0d1210a0,8,454
0d242404,8,454
100c6098,8,454
106a5400,8,454
111c0023,8,454
12a96000,8,454
14160601,8,454
1508044c,8,454
16491002,8,454
164b0008,8,454
1e02c200,8,454
1e842100,8,454
21918401,8,454
24034c08,8,454
24055028,8,454
24370001,8,454
26921200,8,454
28189201,8,454
28a65000,8,454
2a308081,8,454
2a681040,8,454
2b01a400,8,454
2c034808,8,454
2e110088,8,454
30460089,8,454
31045021,8,454
32485008,8,454
33402006,8,454
0084c4c4,8,455
00905207,8,455
009a5201,8,455
00c560c0,8,455
010cf100,8,455
01185103,8,455
02a81406,8,455
03044681,8,455
03989010,8,455
03a12c00,8,455
041c1205,8,455
042c6180,8,455
0450e00a,8,455
05610444,8,455
0580c0a1,8,455
0581a003,8,455
05940411,8,455
06100c1a,8,455
0618a018,8,455
0618a041,8,455
06246500,8,455
062b4008,8,455
06302007,8,455
06940406,8,455
07021442,8,455
07035002,8,455
0710808c,8,455
07148240,8,455
090c3404,8,455
0a90c005,8,455
0b884044,8,455
0c0a6401,8,455
10142a88,8,455
10856500,8,455
11480c88,8,455
120af000,8,455
1272c000,8,455
14011628,8,455
1420b500,8,455
162404c0,8,455
20189019,8,455
201cd010,8,455
20723100,8,455
21601405,8,455
216a9000,8,455
241c8024,8,455
24205025,8,455
2441840c,8,455
2492100a,8,455
25809208,8,455
26142101,8,455
275000c0,8,455
2842a009,8,455
29528200,8,455
2b103040,8,455
2c90a001,8,455
32544040,8,455
3600a300,8,455
3ac42000,8,455
00327104,8,456
0090e2a0,8,456
00d050a1,8,456
00f84108,8,456
0102b00d,8,456
010c2449,8,456
01581c04,8,456
01825049,8,456
01a85208,8,456
0290a608,8,456
0308a380,8,456
04138281,8,456
04304099,8,456
0440b481,8,456
04846112,8,456
04c16021,8,456
05088605,8,456
050c9a00,8,456
05103031,8,456
052b1010,8,456
05606120,8,456
058c4014,8,456
05c04380,8,456
068c400a,8,456
0722a020,8,456
07c01012,8,456
08981608,8,456
098a2240,8,456
0a42a0a0,8,456
0cb0c004,8,456
0d424210,8,456
10542290,8,456
10b01601,8,456
10c484c0,8,456
11429201,8,456
14078280,8,456
14079080,8,456
14542102,8,456
14b80042,8,456
14d40044,8,456
15490041,8,456
16264080,8,456
16405108,8,456
19a41002,8,456
1c100249,8,456
2039a001,8,456
20583101,8,456
208470c0,8,456
21063090,8,456
21199200,8,456
22081c06,8,456
229e0002,8,456
24512804,8,456
24649010,8,456
249c0180,8,456
24c02282,8,456
25610082,8,456
28603208,8,456
29704200,8,456
2a340401,8,456
30405488,8,456
318404c0,8,456
3410c0c0,8,456
3a046800,8,456
0072300c,8,457
0090e421,8,457
00b0900b,8,457
0110aa88,8,457
0110f120,8,457
01305106,8,457
01341380,8,457
01361090,8,457
01486610,8,457
01f88004,8,457
02dac000,8,457
02e85010,8,457
04017214,8,457
04104c29,8,457
0418a288,8,457
0430908a,8,457
044cd080,8,457
0605c480,8,457
0708c041,8,457
088a5081,8,457
0a1a100a,8,457
0b005482,8,457
0b024490,8,457
0b12c040,8,457
0b903004,8,457
