a_hex	b_hex	cover	count	least_mask	labels
0000000021668c81	0000000000000000	11	3	28422083	0,1,7,13,17,22,27,29
0000000028000000	0000000000000000	2	2	20868481	0,7,10,15,17,18,23,29
0000000030000000	0000000000000000	2	5	20262482	1,7,10,13,17,18,21,29
0000000030800000	0000000000000000	3	3	20662082	1,7,13,17,18,21,22,29
0000000031000600	0000000000000000	5	4	20a22482	1,7,10,13,17,21,23,29
0000000031740600	0000000000000000	9	2	28222680	7,9,10,13,17,21,27,29
0000000031f606c0	0000000000000000	13	3	28622082	1,7,13,17,21,22,27,29
0000000039000700	0000000000000000	7	1	28a28440	6,10,15,17,21,23,27,29
0000000040000000	0000000000000000	1	86	00a0844b	0,1,3,6,10,15,21,23
0000000050000000	0000000000000000	2	16	20a4048a	1,3,7,10,18,21,23,29
0000000050000200	0000000000000000	3	21	20a0248a	1,3,7,10,13,21,23,29
0000000060000000	0000000000000000	2	5	20842681	0,7,9,10,13,18,23,29
0000000061000400	0000000000000000	4	1	2080a4c1	0,6,7,10,13,15,23,29
0000000068000000	0000000000000000	3	6	208484c1	0,6,7,10,15,18,23,29
0000000069000500	0000000000000000	6	4	208086c1	0,6,7,9,10,15,23,29
0000000070000000	0000000000000000	3	6	20a42482	1,7,10,13,18,21,23,29
0000000071000600	0000000000000000	6	3	20a02682	1,7,9,10,13,21,23,29
0000000078000000	0000000000000000	4	4	20a484c0	6,7,10,15,18,21,23,29
0000000079000700	0000000000000000	8	4	20e084c0	6,7,10,15,21,22,23,29
0000000080000000	0000000000000000	1	237	00163288	3,7,9,12,13,17,18,20
0000000080000800	0000000000000000	2	32	00563280	7,9,12,13,17,18,20,22
0000000080001000	0000000000000000	2	33	0052b088	3,7,12,13,15,17,20,22
0000000080001040	0000000000000000	3	16	2012a288	3,7,9,13,15,17,20,29
00000000800010c0	0000000000000000	4	2	08d2a080	7,13,15,17,20,22,23,27
0000000080001801	0000000000000000	4	8	08523082	1,7,12,13,17,20,22,27
00000000800018c1	0000000000000000	6	1	28d22080	7,13,17,20,22,23,27,29
00000000800210c0	0000000000000000	5	6	2052a280	7,9,13,15,17,20,22,29
00000000800618c1	0000000000000000	8	5	28522082	1,7,13,17,20,22,27,29
0000000088000000	0000000000000000	2	3	00d48124	2,5,8,15,18,20,22,23
0000000100000000	0000000000000000	1	57	00463488	3,7,10,12,13,17,18,22
0000000100010000	0000000000000000	2	38	00c23488	3,7,10,12,13,17,22,23
0000000100410000	0000000000000000	3	3	08423680	7,9,10,12,13,17,22,27
0000000110000000	0000000000000000	2	32	2006248a	1,3,7,10,13,17,18,29
0000000110010200	0000000000000000	4	18	2082248a	1,3,7,10,13,17,23,29
0000000110110200	0000000000000000	5	15	2002a4c8	3,6,7,10,13,15,17,29
0000000130000000	0000000000000000	3	18	2006a4c0	6,7,10,13,15,17,18,29
0000000131010600	0000000000000000	7	9	2082a4c0	6,7,10,13,15,17,23,29
0000000131710600	0000000000000000	10	2	2042a4c0	6,7,10,13,15,17,22,29
0000000131750600	0000000000000000	11	4	28422482	1,7,10,13,17,22,27,29
0000000138000000	0000000000000000	4	2	208684c0	6,7,10,15,17,18,23,29
0000000139010700	0000000000000000	9	1	288284c0	6,7,10,15,17,23,27,29
0000000150000000	0000000000000000	3	24	2084248a	1,3,7,10,13,18,23,29
0000000150010200	0000000000000000	5	12	208086c8	3,6,7,9,10,15,23,29
0000000170000000	0000000000000000	4	20	20842682	1,7,9,10,13,18,23,29
0000000171010600	0000000000000000	8	6	2080a6c0	6,7,9,10,13,15,23,29
0000000178000000	0000000000000000	5	8	208485c0	6,7,8,10,15,18,23,29
0000000179010700	0000000000000000	10	3	20c086c0	6,7,9,10,15,22,23,29
0000000182004000	0000000000000000	4	6	08063288	3,7,9,12,13,17,18,27
000000018200c000	0000000000000000	5	5	0046b280	7,9,12,13,15,17,18,22
000000018200c800	0000000000000000	6	8	08463082	1,7,12,13,17,18,22,27
