a_hex	b_hex	cover	count	least_mask	labels
0006c9cc007606c0	0000000000000000	19	1	18622880	7,11,13,17,21,22,27,28
0006d90000000000	0000000000000000	7	1	10686082	1,7,13,14,19,21,22,28
0006e00000220000	0000000000000000	7	1	1842e001	0,13,14,15,17,22,27,28
0006e90000000000	0000000000000000	7	1	184a6001	0,13,14,17,19,22,27,28
0007200000000000	0000000000000000	4	1	1048c640	6,9,10,14,15,19,22,28
0007400000000000	0000000000000000	4	1	1048c4c0	6,7,10,14,15,19,22,28
0007400000380000	0000000000000000	7	2	1040ccc0	6,7,10,11,14,15,22,28
0007408000000000	0000000000000000	5	1	106884c0	6,7,10,15,19,21,22,28
0007449000000000	0000000000000000	7	1	10488cc0	6,7,10,11,15,19,22,28
0007600000000000	0000000000000000	5	5	1048c441	0,6,10,14,15,19,22,28
0007608000000000	0000000000000000	6	3	10688441	0,6,10,15,19,21,22,28
0008000000000000	0000000000000000	1	3	10056680	7,9,10,13,14,16,18,28
0008400000000000	0000000000000000	2	9	10056482	1,7,10,13,14,16,18,28
0008600000000000	0000000000000000	3	2	1005e440	6,10,13,14,15,16,18,28
0008800000000000	0000000000000000	2	1	1005e280	7,9,13,14,15,16,18,28
0008c00000000000	0000000000000000	3	12	1005e081	0,7,13,14,15,16,18,28
0008e00000000000	0000000000000000	4	5	1005e006	1,2,13,14,15,16,18,28
0009400000000000	0000000000000000	3	2	100d84c0	6,7,10,15,16,18,19,28
0009400000080000	0000000000000000	4	1	1005c4c0	6,7,10,14,15,16,18,28
0009600000000000	0000000000000000	4	2	100dc440	6,10,14,15,16,18,19,28
0009600000080000	0000000000000000	5	1	1025c440	6,10,14,15,16,18,21,28
000a000000000000	0000000000000000	2	21	10046681	0,7,9,10,13,14,18,28
000a200000000000	0000000000000000	3	8	1004e640	6,9,10,13,14,15,18,28
000a220000000000	0000000000000000	4	1	100ca640	6,9,10,13,15,18,19,28
000a400000000000	0000000000000000	3	85	10046483	0,1,7,10,13,14,18,28
000a600000000000	0000000000000000	4	40	1004e403	0,1,10,13,14,15,18,28
000a620000000000	0000000000000000	5	1	100ea440	6,10,13,15,17,18,19,28
000a800000000000	0000000000000000	3	21	10046286	1,2,7,9,13,14,18,28
000a800000008000	0000000000000000	4	1	1006a281	0,7,9,13,15,17,18,28
000a800000008800	0000000000000000	5	1	18062281	0,7,9,13,17,18,27,28
000a80000000c000	0000000000000000	5	1	1806a280	7,9,13,15,17,18,27,28
000a804000000000	0000000000000000	4	3	102c2282	1,7,9,13,18,19,21,28
000a80400000c800	0000000000000000	7	1	18062a80	7,9,11,13,17,18,27,28
000aa00000000000	0000000000000000	4	16	1004e203	0,1,9,13,14,15,18,28
000ac00000000000	0000000000000000	4	89	10046087	0,1,2,7,13,14,18,28
000ac00000008000	0000000000000000	5	1	1806a081	0,7,13,15,17,18,27,28
000ac0000000c000	0000000000000000	6	1	1806a880	7,11,13,15,17,18,27,28
000ac04000000000	0000000000000000	5	7	102c2086	1,2,7,13,18,19,21,28
000ae00000000000	0000000000000000	5	59	10046017	0,1,2,4,13,14,18,28
000b000000000000	0000000000000000	3	10	100c8681	0,7,9,10,15,18,19,28
000b000000080000	0000000000000000	4	3	100486c1	0,6,7,9,10,15,18,28
000b200000000000	0000000000000000	4	2	100cc640	6,9,10,14,15,18,19,28
000b200000080000	0000000000000000	5	2	1004c641	0,6,9,10,14,15,18,28
000b400000000000	0000000000000000	4	37	100c4483	0,1,7,10,14,18,19,28
000b400000080000	0000000000000000	5	21	1004c486	1,2,7,10,14,15,18,28
000b600000000000	0000000000000000	5	27	100cc403	0,1,10,14,15,18,19,28
000b600000080000	0000000000000000	6	8	1004c443	0,1,6,10,14,15,18,28
000ba00000080000	0000000000000000	6	1	1806c201	0,9,14,15,17,18,27,28
000bc00000000000	0000000000000000	5	13	100cc083	0,1,7,14,15,18,19,28
000bc00000080000	0000000000000000	6	3	1024c083	0,1,7,14,15,18,21,28
000be00000000000	0000000000000000	6	10	100cc007	0,1,2,14,15,18,19,28
000be00000080000	0000000000000000	7	1	1024c007	0,1,2,14,15,18,21,28
000e090000000000	0000000000000000	5	1	100a6680	7,9,10,13,14,17,19,28
000e400000000000	0000000000000000	4	3	1008e4c0	6,7,10,13,14,15,19,28
000e400000300000	0000000000000000	6	2	1002e4c0	6,7,10,13,14,15,17,28
000e408000000000	0000000000000000	5	3	100aa4c0	6,7,10,13,15,17,19,28
